,frame,x,y,r,namefr,sample_rate
458,459,924,640,181,framenr_459_framevid_example8,50.0
459,460,908,654,175,framenr_460_framevid_example8,50.0
460,461,922,638,182,framenr_461_framevid_example8,50.0
461,462,896,668,158,framenr_462_framevid_example8,50.0
462,463,922,640,180,framenr_463_framevid_example8,50.0
463,464,922,640,180,framenr_464_framevid_example8,50.0
464,465,930,380,112,framenr_465_framevid_example8,50.0
465,466,928,632,189,framenr_466_framevid_example8,50.0
466,467,942,626,206,framenr_467_framevid_example8,50.0
467,468,926,402,44,framenr_468_framevid_example8,50.0
468,469,878,690,126,framenr_469_framevid_example8,50.0
469,470,920,636,180,framenr_470_framevid_example8,50.0
470,471,918,636,180,framenr_471_framevid_example8,50.0
471,472,920,632,185,framenr_472_framevid_example8,50.0
472,473,922,632,186,framenr_473_framevid_example8,50.0
473,474,924,628,189,framenr_474_framevid_example8,50.0
474,475,924,626,192,framenr_475_framevid_example8,50.0
475,476,914,634,180,framenr_476_framevid_example8,50.0
476,477,912,638,175,framenr_477_framevid_example8,50.0
477,478,922,628,190,framenr_478_framevid_example8,50.0
478,479,914,634,180,framenr_479_framevid_example8,50.0
479,480,920,628,187,framenr_480_framevid_example8,50.0
480,481,904,640,169,framenr_481_framevid_example8,50.0
481,482,896,650,171,framenr_482_framevid_example8,50.0
482,483,920,628,187,framenr_483_framevid_example8,50.0
483,484,914,630,182,framenr_484_framevid_example8,50.0
484,485,918,626,188,framenr_485_framevid_example8,50.0
485,486,906,640,170,framenr_486_framevid_example8,50.0
486,487,908,634,176,framenr_487_framevid_example8,50.0
487,488,902,642,166,framenr_488_framevid_example8,50.0
488,489,904,642,170,framenr_489_framevid_example8,50.0
489,490,878,666,150,framenr_490_framevid_example8,50.0
490,491,882,656,151,framenr_491_framevid_example8,50.0
491,492,876,664,153,framenr_492_framevid_example8,50.0
492,493,916,624,196,framenr_493_framevid_example8,50.0
493,494,896,640,174,framenr_494_framevid_example8,50.0
494,495,900,636,183,framenr_495_framevid_example8,50.0
