"X.1","Label","X","Y","Perim.","name","radius_man"
21,"Batch15:framenr_82_framevid_June12_03.jpeg",78,84,25.133,"framenr_82_framevid_June12_03",4
22,"Batch15:framenr_82_framevid_June16_02.jpeg",1029,625,1005.31,"framenr_82_framevid_June16_02",160
23,"Batch15:framenr_82_framevid_June16_07.jpeg",1069,543,1124.69,"framenr_82_framevid_June16_07",179
24,"Batch15:framenr_82_framevid_June16_20.jpeg",875,520,1470.265,"framenr_82_framevid_June16_20",234
25,"Batch15:framenr_83_framevid_June09_01.jpeg",966,654,999.026,"framenr_83_framevid_June09_01",159
26,"Batch15:framenr_83_framevid_June09_02.jpeg",782.5,550.5,1272.345,"framenr_83_framevid_June09_02",202
27,"Batch15:framenr_83_framevid_June12_02.jpeg",140,60,18.85,"framenr_83_framevid_June12_02",3
28,"Batch15:framenr_83_framevid_June12_03.jpeg",140,60,18.85,"framenr_83_framevid_June12_03",3
29,"Batch15:framenr_83_framevid_June16_02.jpeg",1031.5,604.5,1033.584,"framenr_83_framevid_June16_02",165
30,"Batch15:framenr_83_framevid_June16_07.jpeg",1072,531,1162.389,"framenr_83_framevid_June16_07",185
31,"Batch15:framenr_83_framevid_June16_20.jpeg",874.5,522.5,1460.841,"framenr_83_framevid_June16_20",233
32,"Batch15:framenr_84_framevid_June09_01.jpeg",967.5,654.5,995.885,"framenr_84_framevid_June09_01",159
33,"Batch15:framenr_84_framevid_June09_02.jpeg",787,561,1256.637,"framenr_84_framevid_June09_02",200
34,"Batch15:framenr_84_framevid_June12_02.jpeg",135,53,43.982,"framenr_84_framevid_June12_02",7
35,"Batch15:framenr_84_framevid_June12_03.jpeg",135,53,43.982,"framenr_84_framevid_June12_03",7
36,"Batch15:framenr_84_framevid_June16_02.jpeg",1041,616,1017.876,"framenr_84_framevid_June16_02",162
37,"Batch15:framenr_84_framevid_June16_07.jpeg",1076.5,530.5,1159.248,"framenr_84_framevid_June16_07",185
38,"Batch15:framenr_84_framevid_June16_20.jpeg",868.5,532.5,1385.442,"framenr_84_framevid_June16_20",220
39,"Batch15:framenr_85_framevid_June09_01.jpeg",968,649,1024.159,"framenr_85_framevid_June09_01",163
40,"Batch15:framenr_85_framevid_June09_02.jpeg",799,558,1275.487,"framenr_85_framevid_June09_02",203
41,"Batch15:framenr_85_framevid_June12_02.jpeg",81.5,83.5,40.841,"framenr_85_framevid_June12_02",7
42,"Batch15:framenr_85_framevid_June12_03.jpeg",81.5,83.5,40.841,"framenr_85_framevid_June12_03",7
43,"Batch15:framenr_85_framevid_June16_02.jpeg",1044,629,986.46,"framenr_85_framevid_June16_02",157
44,"Batch15:framenr_85_framevid_June16_07.jpeg",1068.5,534.5,1077.566,"framenr_85_framevid_June16_07",171
